case,version,variant,estimator,branch,shift_s,reference_kind,scope,Nplanned,Noutput,Nref,Nvalid,C_out_pct,C_ref_pct,MAE_bpm,RMSE_bpm,Bias_bpm,SD_error_bpm_ddof1,LoA_lower_descriptive_bpm,LoA_upper_descriptive_bpm,P95_abs_error_bpm_linear,Max_abs_error_bpm,Nwithin5,Nwithin10,P5_valid_pct,P10_valid_pct,R5_all_reference_pct,R10_all_reference_pct
ubfc,tracking_only_gap15,fusion,offline_ridge,tracking_only_gap15/fusion/offline_ridge,0,paired_UBFC_device_HR,strict_common_all_versions_same_variant,44,40,44,40,90.9090909090909,90.9090909090909,2.5892021372646696,3.1982829230346255,-0.6503926583732962,3.171346562777399,-6.866231921416999,5.565446604670406,5.575299361283598,6.343965517241372,36,40,90.0,100.0,81.81818181818181,90.9090909090909
ubfc,tracking_screened_gap10,fusion,local_peak,tracking_screened_gap10/fusion/local_peak,0,paired_UBFC_device_HR,strict_common_all_versions_same_variant,44,40,44,40,90.9090909090909,90.9090909090909,2.7516959720347423,3.5153162788166106,-0.6753926583732962,3.4937736995577655,-7.523189109506516,6.1724037927599245,6.583091082944972,7.343965517241372,32,40,80.0,100.0,72.72727272727273,90.9090909090909
ubfc,tracking_screened_gap10,fusion,offline_ridge,tracking_screened_gap10/fusion/offline_ridge,0,paired_UBFC_device_HR,strict_common_all_versions_same_variant,44,40,44,40,90.9090909090909,90.9090909090909,2.6142021372646695,3.2030419824737226,-0.6253926583732963,3.181414290296784,-6.860964667354993,5.610179350608401,5.575299361283598,6.343965517241372,36,40,90.0,100.0,81.81818181818181,90.9090909090909
ubfc,tracking_screened_gap15,fusion,local_peak,tracking_screened_gap15/fusion/local_peak,0,paired_UBFC_device_HR,strict_common_all_versions_same_variant,44,40,44,40,90.9090909090909,90.9090909090909,2.7516959720347423,3.5153162788166106,-0.6753926583732962,3.4937736995577655,-7.523189109506516,6.1724037927599245,6.583091082944972,7.343965517241372,32,40,80.0,100.0,72.72727272727273,90.9090909090909
ubfc,tracking_screened_gap15,fusion,offline_ridge,tracking_screened_gap15/fusion/offline_ridge,0,paired_UBFC_device_HR,strict_common_all_versions_same_variant,44,40,44,40,90.9090909090909,90.9090909090909,2.6142021372646695,3.2030419824737226,-0.6253926583732963,3.181414290296784,-6.860964667354993,5.610179350608401,5.575299361283598,6.343965517241372,36,40,90.0,100.0,81.81818181818181,90.9090909090909
ubfc,trimmed_gap10,pos,local_peak,trimmed_gap10/pos/local_peak,0,paired_UBFC_device_HR,strict_common_all_versions_same_variant,44,40,44,40,90.9090909090909,90.9090909090909,2.7157831312161833,3.444752005542945,-0.6753926583732962,3.4209252214835315,-7.380406092481017,6.029620775734426,6.096196329379086,7.343965517241372,32,40,80.0,100.0,72.72727272727273,90.9090909090909
ubfc,trimmed_gap10,pos,offline_ridge,trimmed_gap10/pos/offline_ridge,0,paired_UBFC_device_HR,strict_common_all_versions_same_variant,44,40,44,40,90.9090909090909,90.9090909090909,2.5608837981643235,3.176009202248615,-0.6503926583732962,3.1483041984294027,-6.821068887294926,5.520283570548333,5.575299361283598,6.343965517241372,36,40,90.0,100.0,81.81818181818181,90.9090909090909
ubfc,trimmed_gap15,pos,local_peak,trimmed_gap15/pos/local_peak,0,paired_UBFC_device_HR,strict_common_all_versions_same_variant,44,40,44,40,90.9090909090909,90.9090909090909,2.7157831312161833,3.444752005542945,-0.6753926583732962,3.4209252214835315,-7.380406092481017,6.029620775734426,6.096196329379086,7.343965517241372,32,40,80.0,100.0,72.72727272727273,90.9090909090909
ubfc,trimmed_gap15,pos,offline_ridge,trimmed_gap15/pos/offline_ridge,0,paired_UBFC_device_HR,strict_common_all_versions_same_variant,44,40,44,40,90.9090909090909,90.9090909090909,2.5608837981643235,3.176009202248615,-0.6503926583732962,3.1483041984294027,-6.821068887294926,5.520283570548333,5.575299361283598,6.343965517241372,36,40,90.0,100.0,81.81818181818181,90.9090909090909
ubfc,tracking_only_gap10,pos,local_peak,tracking_only_gap10/pos/local_peak,0,paired_UBFC_device_HR,strict_common_all_versions_same_variant,44,40,44,40,90.9090909090909,90.9090909090909,2.7516959720347423,3.5371986047195514,-0.6753926583732962,3.516352820057094,-7.567444185685201,6.216658868938609,6.647772082000222,7.343965517241372,33,40,82.5,100.0,75.0,90.9090909090909
