case,variant,estimator,before,after,Ncommon_output,Nadded_output,Nlost_output,own_delta_MAE_bpm,common_delta_MAE_bpm,own_delta_RMSE_bpm,common_delta_RMSE_bpm,own_delta_Bias_bpm,common_delta_Bias_bpm,own_delta_P5_valid_pct,common_delta_P5_valid_pct,own_delta_R5_all_reference_pct,common_delta_R5_all_reference_pct,own_delta_C_out_pct,common_delta_C_out_pct
user0907,chrom,local_peak,tracking_only_gap10,tracking_screened_gap10,14,0,0,,,,,,,,,,,0.0,0.0
user0907,chrom,offline_ridge,tracking_only_gap10,tracking_screened_gap10,14,0,0,,,,,,,,,,,0.0,0.0
user0907,chrom,local_peak,tracking_only_gap10,tracking_screened_gap15,14,11,0,,,,,,,,,,,26.19047619047619,0.0
user0907,chrom,offline_ridge,tracking_only_gap10,tracking_screened_gap15,14,11,0,,,,,,,,,,,26.19047619047619,0.0
user0907,chrom,local_peak,tracking_only_gap15,tracking_screened_gap10,14,0,11,,,,,,,,,,,-26.19047619047619,0.0
user0907,chrom,offline_ridge,tracking_only_gap15,tracking_screened_gap10,14,0,11,,,,,,,,,,,-26.19047619047619,0.0
user0907,chrom,local_peak,tracking_only_gap15,tracking_screened_gap15,25,0,0,,,,,,,,,,,0.0,0.0
user0907,chrom,offline_ridge,tracking_only_gap15,tracking_screened_gap15,25,0,0,,,,,,,,,,,0.0,0.0
user0907,chrom,local_peak,tracking_screened_gap10,tracking_screened_gap15,14,11,0,,,,,,,,,,,26.19047619047619,0.0
user0907,chrom,offline_ridge,tracking_screened_gap10,tracking_screened_gap15,14,11,0,,,,,,,,,,,26.19047619047619,0.0
ubfc,fusion,local_peak,trimmed_gap10,trimmed_gap15,40,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ubfc,fusion,offline_ridge,trimmed_gap10,trimmed_gap15,40,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ubfc,fusion,local_peak,trimmed_gap10,tracking_only_gap10,40,0,0,-0.03908715918144079,-0.03908715918144079,0.010708334131835695,0.010708334131835695,0.025000000000000022,0.025000000000000022,2.5,2.5,2.2727272727272805,2.2727272727272805,0.0,0.0
ubfc,fusion,offline_ridge,trimmed_gap10,tracking_only_gap10,40,0,0,0.02831833910034609,0.02831833910034609,0.022273720786010642,0.022273720786010642,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ubfc,fusion,local_peak,trimmed_gap10,tracking_only_gap15,40,0,0,-0.03908715918144079,-0.03908715918144079,0.010708334131835695,0.010708334131835695,0.025000000000000022,0.025000000000000022,2.5,2.5,2.2727272727272805,2.2727272727272805,0.0,0.0
ubfc,fusion,offline_ridge,trimmed_gap10,tracking_only_gap15,40,0,0,0.02831833910034609,0.02831833910034609,0.022273720786010642,0.022273720786010642,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
