case,version,roi,signal_stage,source,frames,count,all_video_frames_pct
ubfc,guarded_fusion_gap10,forehead,unanchored_V23,tracked_ratio,1547,1546,99.93535875888817
ubfc,guarded_fusion_gap10,forehead,unanchored_V23,baseline_reset,1547,1,0.06464124111182935
ubfc,guarded_fusion_gap10,left_cheek,unanchored_V23,tracked_ratio,1547,1546,99.93535875888817
ubfc,guarded_fusion_gap10,left_cheek,unanchored_V23,baseline_reset,1547,1,0.06464124111182935
ubfc,guarded_fusion_gap10,right_cheek,unanchored_V23,tracked_ratio,1547,1546,99.93535875888817
ubfc,guarded_fusion_gap10,right_cheek,unanchored_V23,baseline_reset,1547,1,0.06464124111182935
ubfc,guarded_fusion_gap15,forehead,anchored_V24,tracked_ratio,1547,1546,99.93535875888817
ubfc,guarded_fusion_gap15,forehead,anchored_V24,baseline_reset,1547,1,0.06464124111182935
ubfc,guarded_fusion_gap15,left_cheek,anchored_V24,tracked_ratio,1547,1546,99.93535875888817
ubfc,guarded_fusion_gap15,left_cheek,anchored_V24,baseline_reset,1547,1,0.06464124111182935
ubfc,guarded_fusion_gap15,right_cheek,anchored_V24,tracked_ratio,1547,1546,99.93535875888817
ubfc,guarded_fusion_gap15,right_cheek,anchored_V24,baseline_reset,1547,1,0.06464124111182935
ubfc,guarded_fusion_gap15,forehead,unanchored_V23,tracked_ratio,1547,1546,99.93535875888817
ubfc,guarded_fusion_gap15,forehead,unanchored_V23,baseline_reset,1547,1,0.06464124111182935
ubfc,guarded_fusion_gap15,left_cheek,unanchored_V23,tracked_ratio,1547,1546,99.93535875888817
ubfc,guarded_fusion_gap15,left_cheek,unanchored_V23,baseline_reset,1547,1,0.06464124111182935
ubfc,guarded_fusion_gap15,right_cheek,unanchored_V23,tracked_ratio,1547,1546,99.93535875888817
ubfc,guarded_fusion_gap15,right_cheek,unanchored_V23,baseline_reset,1547,1,0.06464124111182935
kaggle_full,bounded_tracking_gap10,forehead,anchored_V24,tracked_ratio,12867,12859,99.93782544493666
kaggle_full,bounded_tracking_gap10,forehead,anchored_V24,baseline_ratio_fallback,12867,7,0.05440273568042279
kaggle_full,bounded_tracking_gap10,forehead,anchored_V24,baseline_reset,12867,1,0.007771819382917541
kaggle_full,bounded_tracking_gap10,left_cheek,anchored_V24,tracked_ratio,12867,12856,99.9145099867879
kaggle_full,bounded_tracking_gap10,left_cheek,anchored_V24,baseline_ratio_fallback,12867,10,0.07771819382917541
kaggle_full,bounded_tracking_gap10,left_cheek,anchored_V24,baseline_reset,12867,1,0.007771819382917541
kaggle_full,bounded_tracking_gap10,right_cheek,anchored_V24,tracked_ratio,12867,12859,99.93782544493666
kaggle_full,bounded_tracking_gap10,right_cheek,anchored_V24,baseline_ratio_fallback,12867,7,0.05440273568042279
