record_type,window_index,channel,patch_id,region,branch,method,status,observed_fraction,mean_quality,tracked_fraction,reset_fraction,representative,peak_bpm,peak_concentration,peak_fwhm_bpm,spectral_score,coefficient,polarity,medoid_channel
channel,2,baseline/forehead_0/chrom,forehead_0,forehead,baseline,chrom,nonfinite_bvp,0.5533333333333333,0.5387757908304671,0.21,0.0033333333333333335,False,,,,,,,
channel,2,baseline/forehead_0/pos,forehead_0,forehead,baseline,pos,nonfinite_bvp,0.5533333333333333,0.5387757908304671,0.21,0.0033333333333333335,False,,,,,,,
channel,2,baseline/forehead_1/chrom,forehead_1,forehead,baseline,chrom,nonfinite_bvp,0.5433333333333333,0.5250739555806027,0.17666666666666667,0.01,False,,,,,,,
channel,2,baseline/forehead_1/pos,forehead_1,forehead,baseline,pos,nonfinite_bvp,0.5433333333333333,0.5250739555806027,0.17666666666666667,0.01,False,,,,,,,
channel,2,baseline/forehead_2/chrom,forehead_2,forehead,baseline,chrom,nonfinite_bvp,0.5533333333333333,0.5533333272768549,0.26,0.0033333333333333335,False,,,,,,,
channel,2,baseline/forehead_2/pos,forehead_2,forehead,baseline,pos,nonfinite_bvp,0.5533333333333333,0.5533333272768549,0.26,0.0033333333333333335,False,,,,,,,
channel,2,baseline/forehead_3/chrom,forehead_3,forehead,baseline,chrom,nonfinite_bvp,0.5533333333333333,0.551309091587344,0.22666666666666666,0.0033333333333333335,False,,,,,,,
channel,2,baseline/forehead_3/pos,forehead_3,forehead,baseline,pos,nonfinite_bvp,0.5533333333333333,0.551309091587344,0.22666666666666666,0.0033333333333333335,False,,,,,,,
channel,2,baseline/left_cheek_0/chrom,left_cheek_0,left_cheek,baseline,chrom,nonfinite_bvp,0.5533333333333333,0.553333326754826,0.16,0.0033333333333333335,False,,,,,,,
channel,2,baseline/left_cheek_0/pos,left_cheek_0,left_cheek,baseline,pos,nonfinite_bvp,0.5533333333333333,0.553333326754826,0.16,0.0033333333333333335,False,,,,,,,
channel,2,baseline/left_cheek_1/chrom,left_cheek_1,left_cheek,baseline,chrom,nonfinite_bvp,0.5533333333333333,0.5533333266671239,0.19,0.0033333333333333335,False,,,,,,,
